sentiment,price_change
0.9463,0.6813
0.9014,0.6813
0.9537,0.6813
0.9486,-0.7045
0.9147,2.8588
0.7788,2.8588
0.7264,0.5292
0.7704,0.5292
0.4819,0.5292
0.388,-1.1913
0.7636,-0.0216
0.7799,-0.0831
0.8627,-0.0831
0.711,-0.0831
0.6999,-0.0831
0.6085,0.1411
0.6976,0.7372
0.6546,-0.0598
0.9263,-0.0598
0.9364,-0.2468
0.8762,0.6218
0.9708,-0.2625
0.9162,-0.2625
0.8623,0.7228
0.8955,0.7228
0.8208,0.7228
0.5974,-0.3109
0.9084,-1.0712
0.5951,-1.0712
0.6661,-1.1148
0.7545,-1.1148
0.8055,-0.1111
0.8443,-0.2472
0.9513,-0.1603
0.8568,-0.1603
0.9349,-0.1603
0.7469,7.3923
0.6925,0.4184
0.9164,-1.3549
0.9223,-1.3549
0.8925,0.397
0.9518,0.397
0.8927,-0.0858
0.9117,-0.0858
0.6773,-0.8928
0.8733,0.6648
0.8866,1.4753
0.7197,1.4753
0.9299,1.4753
0.7298,1.4753
0.9222,1.4753
0.7214,-0.1261
0.7871,-0.43
0.9447,2.0242
0.9103,2.0242
0.8199,1.7008
0.4113,1.7008
0.9289,1.4203
0.8601,-3.1479
0.9225,-3.1479
0.8788,-3.1479
0.9642,-0.3621
0.9539,-0.6242
0.5497,1.0183
0.9716,1.0183
0.9722,1.0183
0.9288,-0.5743
0.767,0.3891
0.7479,0.3891
0.564,-1.178
0.8993,-3.2896
0.8156,0.3719
0.7228,3.062
0.9737,3.062
0.9731,-3.3333
0.5421,-3.3333
0.5417,-0.0437
0.7522,-2.2823
0.9396,-2.2823
0.9679,-0.7837
0.9696,-0.7837
0.5928,-0.7837
0.7432,-0.0684
0.7588,0.761
0.5801,0.761
0.8376,0.761
0.7719,-0.2505
0.5735,-0.1844
0.8718,-0.1844
0.8728,-0.1844
0.4456,-0.4997
0.9101,0.6813
0.9648,0.0
0.6599,0.5292
0.4607,0.5292
0.7309,0.5292
0.8093,0.5292
0.8213,0.5292
0.8737,0.5292
0.8296,-0.0598
0.6512,-0.0598
0.9139,-0.2468
0.7821,-0.2468
0.6159,0.6218
0.6671,0.6218
0.9195,0.6218
0.8316,0.6218
0.7605,0.3928
0.7249,0.3287
0.9023,0.3287
0.8065,-0.2625
0.8848,-0.2625
0.887,-0.2625
0.6788,-1.178
0.9301,-1.0712
0.8061,-1.0712
0.8061,-1.0712
0.6204,-1.1148
0.935,1.2968
0.9625,-0.2472
0.7628,-0.1603
0.7592,-0.1603
0.6493,-1.3549
0.9203,-0.0858
0.8714,-0.43
0.9617,2.0242
0.8893,2.0242
0.9462,2.0242
0.9302,2.0242
0.9691,2.0242
0.965,2.0242
0.5334,1.7008
0.5608,-0.1603
0.8098,1.7008
0.7551,0.4607
0.8528,-3.1479
0.9346,-3.1479
0.4411,-3.1479
0.651,-0.3621
0.7521,-0.6242
0.891,7.3923
0.8689,7.3923
0.4975,-3.2896
0.9116,-3.2896
0.9116,-3.2896
0.9151,-3.2896
0.9005,0.0803
0.8712,0.0803
0.5459,0.0
0.5907,-0.2634
0.8623,-0.2634
0.7556,-0.7837
0.5944,0.761
0.8111,-0.2505
0.8909,2.2059
0.9593,2.2059
0.9149,2.2059
0.9273,-0.831
0.76,-1.4666
0.7032,-1.4666
0.9462,-1.4666
0.9331,-0.3514
0.8088,-0.3514
0.9625,-0.3514
0.8904,-4.6941
0.8858,2.2184
0.9077,2.2184
0.8171,0.555
0.9538,1.4225
0.9709,1.4225
0.9201,0.5894
0.8892,0.0974
0.8911,0.4915
0.9287,0.355
0.9394,0.355
0.9663,-1.467
0.8494,-1.467
0.8599,-1.0154
0.4721,-1.0154
0.8328,-1.0154
0.7826,-1.0154
0.8935,-1.0154
0.8245,-1.0154
0.9157,-0.0437
0.817,0.6642
0.5599,0.5292
0.8474,-1.1913
0.8961,-1.1913
0.9516,-1.1913
0.8453,-0.0216
0.7291,-0.0216
0.5574,-0.0216
0.7749,-0.1022
0.871,-0.0598
0.8116,-0.0598
0.8126,-0.0598
0.8939,0.6218
0.515,0.2418
0.901,0.2418
0.8244,0.2418
0.9012,0.2418
0.584,0.2418
0.8276,0.0
0.918,0.0
0.8567,0.3287
0.8564,-0.2625
0.4483,-0.3109
0.7323,-1.1148
0.8812,-0.1111
0.8822,1.2968
0.7291,-0.2472
0.9285,-0.1603
0.9297,0.4184
0.4638,0.397
0.5301,0.397
0.9266,0.397
0.8574,-0.1261
0.9301,-0.43
0.8253,2.0242
0.6111,2.0242
0.5518,2.0242
0.7405,0.3719
0.6718,2.0242
0.9357,2.0242
0.8724,1.7008
0.8964,1.7008
0.8698,1.4203
0.9152,1.4203
0.8673,1.4203
0.5975,-0.6242
0.8033,1.0183
0.9168,3.062
0.9268,7.3923
0.9053,7.3923
0.5504,7.3923
0.5494,7.3923
0.7142,-0.5743
0.5651,-0.5743
0.7805,-0.5743
0.9252,-0.5743
0.8228,-1.178
0.7091,-1.178
0.6687,-3.2896
0.9288,-3.2896
0.8871,0.0803
0.8138,0.0803
0.8239,0.0803
0.7419,0.6246
0.5089,0.6246
0.8798,0.6246
0.6261,3.062
0.5846,0.0
0.6991,-3.3333
0.6474,-2.2823
0.6957,0.761
0.9372,-0.7386
0.888,-0.7386
0.5237,-0.4997
0.8809,-0.4997
0.8809,2.2059
0.6959,-1.4666
0.9359,-0.3514
0.5617,-4.6941
0.9057,-4.6941
0.69,-4.6941
0.9221,-4.6941
0.8579,-4.6941
0.6002,2.2184
0.935,0.2212
0.7689,2.2184
0.9542,0.555
0.8596,0.1596
0.5551,0.1596
0.7835,0.6813
0.8409,0.6813
0.9331,-0.0437
0.949,2.8588
0.9356,-1.1913
0.8874,-0.0216
0.8257,-0.0216
0.7546,-0.1022
0.5072,-0.1022
0.7242,-0.0598
0.6881,-0.0598
0.9444,-0.0598
0.9267,-0.0598
0.5927,0.2418
0.5367,0.2418
0.4233,0.3928
0.935,-0.2625
0.8591,-0.2625
0.9194,-0.3109
0.8361,-1.1148
0.5974,-1.1148
0.8956,-1.1148
0.971,-0.1111
0.922,0.4184
0.5265,1.4753
0.4842,1.4753
0.7437,1.4753
0.9332,0.2212
0.9429,-0.43
0.8652,2.0242
0.8604,1.7008
0.7019,1.4203
0.622,0.4607
0.9346,0.4607
0.58,0.4607
0.7139,0.4607
0.8377,0.2851
0.7555,7.3923
0.9283,-3.2896
0.5568,0.3719
0.5682,3.062
0.8902,-0.2505
0.6683,0.0289
0.8784,1.5001
0.8575,2.2184
0.7495,2.2184
0.7293,2.2184
0.8249,0.555
0.8751,0.0
0.9258,0.1596
0.5986,1.4225
0.9512,1.0665
0.7931,0.5894
0.8277,0.7971
0.5864,0.7971
0.9355,0.0
0.9121,-0.0658
0.8464,-0.8425
0.609,0.355
0.9102,-1.467
0.9377,-1.0154
0.9156,-1.0154
0.5158,-1.3362
0.7987,-1.3362
0.9368,-0.0188
0.8932,-0.0188
0.8505,0.5506
0.923,0.6462
0.5987,0.6462
0.8245,0.6462
0.7996,0.8267
0.7927,0.6813
0.8225,-0.0437
0.9322,-0.7045
0.8944,-0.7045
0.9002,-0.7045
0.7521,0.6642
0.9199,0.5292
0.4349,0.5292
0.9284,-1.1913
0.8638,0.0072
0.7874,-0.0831
0.7958,-0.0831
0.8475,-0.1022
0.473,-0.0598
0.8328,-0.0598
0.6838,-0.0598
0.854,-0.1352
0.6481,-0.1352
0.6481,-0.1352
0.6777,-0.2468
0.8191,-0.2468
0.9487,-0.2634
0.7693,-0.2542
0.8516,0.6218
0.5473,0.2418
0.6777,0.2418
0.9161,0.2418
0.9615,0.3928
0.9332,0.3287
0.4589,0.3287
0.6774,-0.2625
0.8591,0.7228
0.683,0.7228
0.7431,0.7228
0.9374,0.7228
0.8432,0.7228
0.9347,-0.3109
0.6796,-0.3109
0.8534,-0.3109
0.8595,-0.3109
0.9698,-0.3109
0.9332,-1.0712
0.7179,-1.0712
0.6814,-1.1148
0.7985,-1.1148
0.8402,-1.1148
0.9608,-0.1111
0.7189,-0.1111
0.9449,-0.2472
0.863,-0.2472
0.6116,-0.1603
0.8725,-0.1603
0.6944,0.4184
0.9436,0.4184
0.6579,1.0637
0.9046,-0.0858
0.9338,-0.0858
0.4889,-0.0858
0.8026,1.4753
0.6211,0.2212
0.9154,-0.43
0.8725,2.0242
0.9302,2.0242
0.8657,1.7008
0.8467,1.7008
0.7879,0.4607
0.7879,0.4607
0.9363,0.4607
0.9369,0.4607
0.7033,0.4607
0.6197,-3.1479
0.559,-0.3621
0.8294,-0.3621
0.9221,1.0183
0.9284,1.0183
0.7708,7.3923
0.9418,7.3923
0.4926,-0.5743
0.6621,-3.2896
0.3379,0.6813
0.6666,0.6813
0.8907,-0.0437
0.9561,-0.7045
0.9073,2.8588
0.8422,2.8588
0.9208,0.6642
0.8888,0.0072
0.8858,0.0072
0.7633,-0.0831
0.9299,-0.0598
0.9635,0.6218
0.8518,0.7228
0.9486,-1.0712
0.9064,-1.1148
0.8747,0.4184
0.9094,1.0637
0.7456,1.4753
0.9391,0.2212
0.4117,-0.1261
0.9155,-0.1261
0.843,-0.1261
0.9097,-0.43
0.8368,-0.43
0.9193,-0.43
0.9323,1.7008
0.8898,1.7008
0.9153,1.4203
0.9136,1.4203
0.8593,-0.3621
0.9294,1.0183
0.7219,7.3923
0.9646,-0.5743
0.8345,-1.178
0.6738,-3.2896
0.9454,-0.2634
0.9637,0.3719
0.9104,0.3719
0.7378,0.3719
0.9746,3.062
0.9515,3.062
0.969,3.062
0.9571,3.062
0.3506,-0.2634
0.9664,-0.2634
0.8008,-0.2634
0.9734,-0.2634
0.9087,-0.2634
0.844,-0.2634
0.9214,-0.2634
0.9125,-0.2634
0.5714,-0.2634
0.8972,-0.2634
0.7216,-0.2634
0.6097,-0.2634
0.943,-0.2634
0.9084,-0.2634
0.9262,-0.2634
0.9332,-0.2634
0.9662,-0.2634
0.894,-0.2634
0.9469,-0.2634
0.957,-0.2634
0.8498,-0.2634
0.9078,-0.2634
0.8498,-0.2634
0.9585,-0.2634
0.8987,-0.2634
0.6599,-0.2634
0.7346,-0.2634
0.7313,-0.2634
0.7485,-0.2634
0.7424,-0.2634
0.9341,-0.2634
0.9497,-0.2634
0.8139,-0.2634
0.5502,-0.2634
0.9338,-0.2634
0.8514,-0.2634
0.7573,-0.2634
0.9076,-1.7118
0.8797,-1.7118
0.9714,-1.7118
0.935,-1.7118
0.952,-1.7118
0.9294,-1.7118
0.6208,-1.7118
0.7201,-1.7118
0.9486,-1.7118
0.6559,-1.7118
0.9706,-1.7118
0.9611,-1.7118
0.9524,-1.7118
0.9365,-3.3333
0.7941,-3.3333
0.9603,-3.3333
0.8646,0.6813
0.9237,0.6813
0.5731,0.6813
0.5396,0.6813
0.8334,0.6813
0.9249,0.6813
0.9096,0.6813
0.7878,0.6813
0.9451,0.6813
0.6346,0.6813
0.9092,0.6813
0.9041,-0.0437
0.782,-0.0437
0.8789,-0.0437
0.9511,-0.0437
0.9123,-0.0437
0.7289,-0.0437
0.7784,-0.0437
0.5226,-0.0437
0.7133,-0.0437
0.9129,-0.0437
0.8711,-0.0437
0.8688,-0.0437
0.9097,-0.0437
0.8604,-0.0437
0.9243,-0.7045
0.5559,-0.7045
0.9149,0.6813
0.919,-0.7045
0.8832,-0.7045
0.8822,-0.7045
0.8971,-0.7045
0.9678,-0.7045
0.9036,-0.7045
0.8768,-0.7045
0.8855,-0.7045
0.695,-0.7045
0.5798,2.8588
0.6344,2.8588
0.9489,0.6642
0.9021,0.6642
0.5125,0.6642
0.9427,0.6642
0.8038,0.5292
0.923,0.5292
0.8413,0.5292
0.9183,0.5292
0.9403,-1.1913
0.9216,-1.1913
0.9637,-1.1913
0.5516,-1.1913
0.94,-1.1913
0.9139,-1.1913
0.9283,-0.0831
0.9399,0.1411
0.4669,0.1411
0.8301,0.1411
0.8564,0.1411
0.8825,0.1411
0.709,0.7372
0.9741,0.7372
0.9263,0.7372
0.9057,0.5292
0.6937,-1.1913
0.9009,-1.1913
0.875,-0.0598
0.9088,-0.1352
0.9236,-0.1352
0.8934,-0.2542
0.6681,0.6218
0.8515,0.6218
0.7861,0.2418
0.706,0.3928
0.9454,0.3287
0.6188,0.7228
0.7563,-0.1111
0.4964,-0.1111
0.7207,-0.2472
0.6171,-0.1603
0.9339,-0.1603
0.6837,0.4184
0.9451,1.4753
0.8329,1.4753
0.7607,2.0242
0.9265,1.4203
0.6407,1.4203
0.9386,0.4607
0.8819,0.4607
0.6276,7.3923
0.8408,7.3923
0.8129,-3.2896
0.6206,0.3719
0.8981,-0.7386
0.8493,-0.831
0.8536,-1.4666
0.7958,1.4225
0.869,0.0758
0.8583,-1.0154
0.5494,-0.4037
0.8985,0.6462
0.4791,0.6813
0.8958,0.6813
0.8942,0.6813
0.5101,-0.0437
0.7803,-0.0437
0.9005,-0.0437
0.9168,-0.0437
0.9276,-0.7045
0.8221,-0.7045
0.8567,-0.7045
0.9101,-0.7045
0.7229,-0.7045
0.8609,2.8588
0.8973,0.0
0.9051,0.5292
0.6459,0.5292
0.8713,-1.1913
0.569,-1.1913
0.4881,-1.1913
0.8574,0.0072
0.8671,-0.0831
0.6146,-0.0831
0.7792,-0.0831
0.9158,0.1411
0.9696,0.1411
0.8794,0.1411
0.9517,0.1411
0.9197,-0.1022
0.7253,-0.1022
0.7334,-0.1022
0.8616,-0.0598
0.7474,-0.0598
0.7958,0.6813
0.4788,-0.0598
0.9424,-0.0598
0.9128,-0.0598
0.7792,-0.1352
0.8433,-0.1352
0.5756,-0.1352
0.9616,-0.1352
0.9328,-0.2468
0.8446,-0.2625
0.8121,-0.2468
0.5943,-0.2542
0.9445,-0.2542
0.543,-0.2542
0.9261,0.6218
0.9378,0.6218
0.6982,0.6218
0.8372,0.2418
0.9387,0.2418
0.8243,0.0
0.7976,0.3928
0.9203,0.3287
0.4958,0.3287
0.5643,-0.2625
0.9524,-0.2625
0.8807,-0.2625
0.9109,0.7228
0.9572,0.7228
0.9294,0.7228
0.3976,0.7228
0.8321,-0.3109
0.9027,-0.3109
0.9027,-0.3109
0.8999,-1.0712
0.8064,-1.0712
0.8871,0.0
0.9339,-1.1148
0.9296,-1.1148
0.8998,-0.1111
0.6977,-0.1111
0.9467,-0.1111
0.6817,-0.1111
0.9392,-0.1111
0.7095,1.2968
0.9235,-0.2472
0.7748,-0.2472
0.7822,-0.1022
0.8228,-0.2542
0.8275,0.7228
0.9742,0.7228
0.8253,-1.0712
0.8108,-1.1148
0.8562,-0.2472
0.8835,-0.1603
0.8427,-0.1603
0.9723,-0.1603
0.6504,-0.1603
0.9731,2.0242
0.6989,2.0242
0.8061,2.0242
0.8865,2.0242
0.7975,2.0242
0.7975,2.0242
0.9506,1.7008
0.5911,0.4607
0.6918,-0.6242
0.9033,1.0183
0.7107,1.0183
0.7732,1.0183
0.7573,1.0183
0.5493,7.3923
0.521,-1.178
0.8354,-1.178
0.9237,-3.2896
0.9676,-3.2896
0.9072,-3.2896
0.8527,-3.2896
0.8839,-3.2896
0.9435,0.0803
0.8771,0.6246
0.8943,0.3719
0.6444,-0.2505
0.7928,-0.4997
0.7177,2.2059
0.8376,2.2059
0.9034,0.0289
0.8923,1.5001
0.6438,-1.4666
0.8971,-0.3514
0.6526,0.6813
0.5042,2.2184
0.8791,2.2184
0.4411,0.555
0.9256,1.4225
0.5077,1.4225
0.866,1.4225
0.8079,1.0665
0.7461,1.0665
0.6183,1.0665
0.8765,-0.2855
0.9642,-0.2855
0.5668,0.7971
0.9332,0.7971
0.6973,0.7971
0.8986,0.0554
0.5235,-0.0658
0.4977,0.0758
0.8762,-2.0615
0.8127,-1.467
0.9185,-1.467
0.7434,-1.467
0.928,-1.467
0.8845,0.2851
0.9422,0.2851
0.6418,-0.0188
0.946,-0.0188
0.9439,-0.0188
0.8248,-0.4037
0.6573,0.4821
0.7981,0.3796
0.6853,-1.6349
0.9301,-1.6349
0.6007,-1.6349
0.8172,-1.6349
0.7147,0.5506
0.8932,0.5506
0.8949,0.5506
0.9191,0.0839
0.8546,-0.5907
0.953,-0.5907
0.8515,-0.5907
0.8281,-0.5907
0.8979,0.6462
0.93,0.6462
0.8212,0.6462
0.886,0.8267
0.8351,0.8267
0.7919,0.8267
0.8062,0.8267
0.813,-0.0831
0.7587,-0.1022
0.6941,-0.2468
0.6762,-0.2542
0.7045,1.2968
0.7516,1.7008
0.7646,7.3923
0.9141,2.2059
0.8694,1.5001
0.6463,-4.6941
0.8017,2.2184
0.9073,-2.0615
0.5865,-1.467
0.9419,0.2851
0.8877,0.2851
0.7906,0.8267
0.8533,0.6813
0.9272,0.6813
0.9268,-0.0437
0.6328,-0.7045
0.9054,-1.1913
0.8619,-0.0216
0.9065,-0.1022
0.8239,-0.2468
0.7964,-0.2542
0.9151,0.6218
0.5758,0.6218
0.8521,0.3928
0.7705,0.3287
0.9192,-0.2625
0.9358,-0.2625
0.9353,-0.2625
0.9038,-0.2625
0.9444,-0.2625
0.8494,0.7228
0.9144,0.0
0.9302,-0.1603
0.6922,-1.1148
0.5687,-1.1148
0.7961,-0.1111
0.862,-0.1111
0.884,-0.2472
0.8204,-0.2472
0.9436,-0.2472
0.9102,-0.2472
0.7748,-0.1603
0.7797,0.4184
0.9151,-0.0858
0.9117,-0.0858
0.9314,-0.43
0.6667,-0.43
0.916,-0.43
0.6356,2.0242
0.8628,0.0
0.7366,0.4607
0.847,0.4607
0.7909,-3.1479
0.8869,-3.1479
0.924,-0.6242
0.9364,7.3923
0.6754,7.3923
0.6674,7.3923
0.6636,0.3891
0.8957,-1.178
0.9003,-1.178
0.7909,-3.2896
0.58,0.0
0.8459,3.062
0.4694,-1.7118
0.8892,-0.7386
0.9309,-0.7386
0.9078,2.2059
0.9426,0.0289
0.6896,1.5001
0.6341,-1.4666
0.9468,-0.3514
0.9313,1.0353
0.9247,-4.6941
0.8088,0.555
0.9251,1.4225
0.652,1.4225
0.9338,0.7971
0.7987,0.0554
0.9181,-0.2864
0.9199,-0.8425
0.9403,0.0974
0.7974,0.355
0.8468,0.355
0.7969,0.355
0.5565,-2.0615
0.8216,0.527
0.8758,0.527
0.7641,0.527
0.8046,0.527
0.8533,-1.0154
0.9302,0.2851
0.9152,-0.0188
0.6357,-0.0188
0.9634,-0.2625
0.9597,0.6813
0.919,0.6813
0.578,-0.0437
0.9225,-0.0437
0.9026,-0.0437
0.6474,-0.0437
0.8742,-0.0437
0.8624,-0.7045
0.8416,2.8588
0.9282,0.6642
0.9175,0.6642
0.9429,-0.2542
0.9078,0.5292
0.4942,-1.1913
0.6026,0.0072
0.769,-0.0831
0.9071,-0.0831
0.6043,-0.0831
0.9561,0.1411
0.8467,0.1411
0.8216,0.7372
0.8279,-0.1022
0.4839,-0.1022
0.9173,-0.0598
0.6082,-0.0598
0.8222,-0.0598
0.938,-0.1352
0.6732,-0.1352
0.9569,-0.1352
0.603,-0.2542
0.9169,-0.2542
0.8371,-0.2542
0.925,-0.2542
0.7643,-0.2542
0.5163,-0.2542
0.8339,0.6218
0.921,0.6218
0.7926,0.2418
0.9253,0.2418
0.5631,0.3287
0.6879,0.3287
0.7691,0.3287
0.8487,0.3287
0.8731,0.3287
0.9347,0.3287
0.6796,0.3287
0.9284,-0.2625
0.9159,-0.2625
0.9174,0.0
0.8116,0.7228
0.5796,0.7228
0.6152,-0.3109
0.8548,-0.3109
0.8562,-1.0712
0.8673,-1.0712
0.8881,-1.0712
0.7496,-1.1148
0.8934,-1.1148
0.9475,-0.1111
0.916,-0.1111
0.7285,-0.1111
0.9543,1.2968
0.7074,-0.2472
0.5382,-0.1603
0.6709,0.6813
0.7623,0.6813
0.5132,-0.0437
0.9222,-0.0831
0.9435,-0.7045
0.7758,-0.7045
0.5902,2.8588
0.8833,0.0072
0.7218,-0.0216
0.9428,-0.0831
0.7517,-0.0831
0.618,-0.0831
0.8912,-0.0831
0.6359,0.1411
0.6329,0.0
0.8262,0.7372
0.7779,0.7372
0.866,-0.1022
0.6937,-0.1022
0.9387,-0.1022
0.7769,-0.1022
0.8906,-0.0598
0.7,-0.0598
0.8301,-0.1352
0.9531,-0.1352
0.8427,-0.1352
0.8479,-0.2468
0.9247,-0.2468
0.8066,-0.2468
0.8833,-0.2468
0.87,-0.2542
0.4956,-0.2542
0.9177,-0.2542
0.8183,-0.2542
0.823,0.6218
0.5962,0.6218
0.6559,0.6218
0.6078,0.2418
0.9509,0.2418
0.7432,0.2418
0.8267,0.2418
0.4499,0.3928
0.9091,0.3287
0.8619,0.3287
0.8469,0.3287
0.8112,0.3287
0.5095,-0.2625
0.898,-0.2625
0.9453,-0.2625
0.8919,0.7228
0.795,0.7228
0.888,0.7228
0.961,0.7228
0.9581,0.0
0.6933,-0.3109
0.9201,-1.0712
0.7943,-1.0712
0.7344,-1.0712
0.8912,-1.1148
0.8647,-1.1148
0.8817,-1.1148
0.5508,-1.1148
0.808,-1.1148
0.8354,-1.1148
0.603,-0.1111
0.8202,1.2968
0.5951,-0.2472
0.8738,-0.1603
0.8352,-0.1603
0.7226,-0.1603
0.7971,0.4184
0.7105,0.4184
0.8875,1.0637
0.7907,1.0637
0.5104,-1.3549
0.8759,-1.3549
0.7156,0.397
0.7948,-0.0858
0.8564,0.6813
0.9443,0.6813
0.9402,0.6813
0.9395,0.6813
0.8393,0.6813
0.8846,-0.7045
0.8969,2.8588
0.8712,0.6642
0.8083,0.1411
0.9238,-0.1022
0.9334,-0.1022
0.7449,-0.1352
0.9463,-0.1352
0.8915,-0.2542
0.9266,-0.2542
0.586,-0.2542
0.9503,-0.2542
0.9536,0.6218
0.528,0.6218
0.8905,0.2418
0.8689,0.3287
0.8992,0.3287
0.9477,0.3287
0.9236,-0.2625
0.8395,0.7228
0.6721,-0.3109
0.968,0.0
0.9597,-0.1111
0.7008,1.2968
0.932,-0.1603
0.9269,0.4184
0.9035,-0.6242
0.7616,0.4184
0.9193,1.0637
0.5917,0.397
0.796,-0.0858
0.8569,-0.0858
0.9525,0.6648
0.7951,1.4753
0.7297,0.2212
0.7977,-0.1261
0.9422,-0.43
0.7399,-0.43
0.9012,-0.43
0.5138,-0.43
0.9108,2.0242
0.9054,2.0242
0.8929,2.0242
0.5668,1.7008
0.8713,1.7008
0.8524,1.7008
0.8174,1.7008
0.9218,1.7008
0.5223,0.4607
0.7955,-3.1479
0.9272,-3.1479
0.911,-3.1479
0.8318,-3.1479
0.5062,-0.3621
0.943,-0.3621
0.9298,-0.3621
0.8452,-0.3621
0.6328,-0.3621
0.8267,-0.6242
0.7481,-0.6242
0.9736,-0.6242
0.9747,-0.6242
0.7797,-0.6242
0.8874,1.0183
0.9368,1.0183
0.7695,7.3923
0.9244,7.3923
0.5325,7.3923
0.452,7.3923
0.4688,7.3923
0.7128,7.3923
0.6581,-0.5743
0.9466,-0.5743
0.4988,-0.5743
0.6212,0.6813
0.6212,0.6813
0.6559,-0.0437
0.9239,-0.0437
0.7432,-0.0437
0.8082,-0.0437
0.8649,-0.7045
0.8491,-0.7045
0.7735,0.0
0.9407,-0.2542
0.8649,0.6218
0.5945,0.2418
0.9352,0.2418
0.8012,0.3928
0.7461,-0.2625
0.7501,-1.0712
0.7559,-1.1148
0.5033,-1.1148
0.952,-1.1148
0.9063,-0.2472
0.8527,-0.2472
0.8216,-0.1603
0.8704,-0.1603
0.4977,0.6648
0.8839,0.2212
0.745,-0.43
0.9221,-0.43
0.8988,2.0242
0.7172,2.0242
0.7586,2.0242
0.749,1.7008
0.7323,1.7008
0.9403,-3.1479
0.6914,-0.3621
0.6655,-0.3621
0.8367,-0.3621
0.6054,-0.6242
0.7219,1.0183
0.858,-0.5743
0.764,-0.5743
0.9221,-1.178
0.5378,-3.2896
0.8315,-0.2634
0.7785,-1.7118
0.9473,-2.2823
0.7205,-2.2823
0.8713,-0.2505
0.8487,-0.4997
0.9122,2.2059
0.9329,1.5001
0.5233,-1.4666
0.5289,1.0353
0.8926,-4.6941
0.9162,-4.6941
0.8784,2.2184
0.8888,2.2184
0.8587,2.2184
0.8217,0.555
0.6817,0.1596
0.8191,1.4225
0.6751,1.4225
0.7142,1.0665
0.698,1.0665
0.8649,1.0665
0.8986,0.5894
0.8793,0.0554
0.9607,-0.8425
0.8303,-2.0615
0.8713,-2.0615
0.7306,0.527
0.8729,0.527
0.8703,-1.467
0.5515,-1.467
0.8996,-1.0154
0.8147,-1.0154
0.8003,-1.3362
0.7711,0.2851
0.934,-0.0437
0.8756,-0.0437
0.9134,-0.0437
0.7925,-0.7045
0.7176,-0.7045
0.8481,2.8588
0.8557,0.5292
